ID,Contract Number,Program Area,Award Year,Project Title,Organization Name,Project Description,Awarded Amount,Pledged Match Amount,Seattle Electoral District,Neighborhood District
S16005,S16005,NMF Small and Simple Projects Fund,2016,Magnolia Commercial Revitalization,Magnolia Chamber of Commerce,The Magnolia Chamber of Commerce will lead a community-based commercial revitalization effort that is the first step to implementing the NMF funded vision statement for the Magnolia Village completed in 2015. It will include a retail assessment and complementary community outreach efforts.,25000,14300,District 7,Magnolia / Queen Anne
S16060,S16060,NMF Small and Simple Projects Fund,2016,Hillman City Collaboratory Parklet,Saturday Studio,The Hillman City Collaboratory Parklet located  at 5623 Rainier Ave S is a community led effort that will design and build a parklet. The parklet will be a community open space that will help tell the ongoing story of the Hillman City community.,12000,12000,District 2,Southeast
S16026,S16026,NMF Small and Simple Projects Fund,2016,Ballard Neighborhood Parklet,Friends of Ballard Parklet,"Friends of Ballard Parklet will build the first public parklet in the Ballard neighborhood for all to enjoy. Our intent is to design, build & raise funds for the parklet with community and public support, including working with the Seattle Parks Foundation, Sustainable Ballard and other Ballard neighborhood organizations.",25000,32443,District 6,Ballard
S16094,S16094,NMF Small and Simple Projects Fund,2016,Fauntleroy Schoolhouse Centennial Celebration,Fauntleroy Centennial Committee,"The Fauntleroy Centennial Committee will be hosting a community event, `A Century of Serving the Community`, at the historic Fauntleroy Schoolhouse. The one day event will be free and open to the public it will include various activities for the community to participate. Archives will be displayed, a new flagpole will be erected, and there will be a mini carnival.",4000,4600,District 1,Southwest
S16050,S16050,NMF Small and Simple Projects Fund,2016,North 137th Street between Greenwood and Linden,Team of N 137th Street Residents,"Team of N. 137th Street Residents will hire a traffic consultant to help identify issues and possible solutions to increase pedestrian safety and traffic calming on  N. 137th Street, between Greenwood and Linden Avenues. The project will also build and strengthen community bonds by creating opportunities to meet neighbors and work together for a common goal.  The project will include multiple meetings and events, as well as community outreach to all residents of the target area.",15408,7725,District 5,Northwest
S16020,S16020,NMF Small and Simple Projects Fund,2016,Strengthening Somali Community Health Outcomes,Somali Health Board,"The Somali Health Board will work with a Community-Based Participatory Research consultant to survey the Somali community in Seattle about health priorities and prepare a report with draft implementation plan. The goal is to produce a culturally appropriate mental health program. An MPH student will be hired to assist with the community research. Focus groups, community roundtables, and health forums will be held at the New Holly campus.",13200,32632,Citywide,Citywide
S16008,S16008,NMF Small and Simple Projects Fund,2016,JCC Mock Trial Team-`Liberty & Justice for All`,Jefferson Mock-Trial Steering Committee,"The Jefferson Community Center Mock Trial Team will host events that serve as outreach to potential youth participants while providing the community with valuable accessible information about the judicial system, legal rights, and prominent legal issues. Activities will include: producing an educational video; attending competitions; hosting informative community events and a community celebration at the conclusion of the project.",8475,30000,District 2,Greater Duwamish
S16041,S16041,NMF Small and Simple Projects Fund,2016,Nihonmachi Alley Revitalization,Friends of Japantown,"Revitalize and beautify Japantown's Nihonmachi Alley with public art, lighting, and programming opportunities.",25000,25500,District 2,Downtown
S16118,S16118,NMF Small and Simple Projects Fund,2016,U District Alley Activation Project,U District Advocates,"The U District Advocates will organize the purchase and installation of bicycle corrals and counters for public use in the alleyway between University Way NE, 15th Ave NE, NE 42nd St, and NE 43rd St.  These improvements will increase the accessibility, safety, and functionality of this alleyway for the public.  Installation will take place in the spring of 2017.  A public celebration will be held in May to mark the project's completion.",7000,8450,District 4,Northeast
S16052,S16052,NMF Small and Simple Projects Fund,2016,Camp Long Mountain Fest and 75th Anniversary,Camp Long Mountain Fest Steering Committee,"The Camp Long Mountain Fest Steering Committee will host Camp Long Mountain Fest and 75th Anniversary on September 10, 2016 from 11 am - 5 pm at Camp Long located at 5200 35th Ave SW.  The free event will feature educational presentations, guided rock climbing activities, music, and food.  The event will promote rock climbing and mountaineering among a broad range of community members.  It will highlight the resources of Camp Long, which celebrates its 75th anniversary this year.",13345,12715,District 1,Delridge
S16051,S16051,NMF Small and Simple Projects Fund,2016,Roof replacements: Interbay P-Patch storage sheds,Interbay P-Patch Community Gardeners,The Interbay P- Patch community will work with their neighbors to replace the roofing on the tool and food bank structures.  These enhancements will give the garden an aesthetically consistent and secure look from the street.,6000,6060,District 7,Magnolia / Queen Anne
S16009,S16009,NMF Small and Simple Projects Fund,2016,Water for Gilman Gardens,Friends of Gilman Gardens,"This project located at 2312 Gilman Drive W. will provide running water on site to the Gilman Gardens community garden. This will allow the community participants the opportunity to keep up with the watering necessary to keep plants healthy and to fully realize the potential of their garden plots, and the growing of their own food.",4249,4400,District 7,Magnolia / Queen Anne
